Site Ref,Collected Date,Variable Name,Value,Quality
61700072,7/03/2011,Water Temp situ(øC) MAX,21.06,10
61700072,8/03/2011,Water Temp situ(øC) MAX,21.08,10
61700072,9/03/2011,Water Temp situ(øC) MAX,21.08,10
61700072,10/03/2011,Water Temp situ(øC) MAX,21.09,10
61700072,11/03/2011,Water Temp situ(øC) MAX,21.11,10
61700072,12/03/2011,Water Temp situ(øC) MAX,21.23,10
61700072,13/03/2011,Water Temp situ(øC) MAX,21.22,10
61700072,14/03/2011,Water Temp situ(øC) MAX,21.22,10
61700072,15/03/2011,Water Temp situ(øC) MAX,21.29,10
61700072,16/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,17/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,18/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,19/03/2011,Water Temp situ(øC) MAX,21.27,10
61700072,20/03/2011,Water Temp situ(øC) MAX,21.28,10
61700072,21/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,22/03/2011,Water Temp situ(øC) MAX,21.32,10
61700072,23/03/2011,Water Temp situ(øC) MAX,21.38,10
61700072,24/03/2011,Water Temp situ(øC) MAX,21.36,10
61700072,25/03/2011,Water Temp situ(øC) MAX,21.38,10
61700072,26/03/2011,Water Temp situ(øC) MAX,21.4,10
61700072,27/03/2011,Water Temp situ(øC) MAX,21.4,10
61700072,28/03/2011,Water Temp situ(øC) MAX,21.39,10
61700072,29/03/2011,Water Temp situ(øC) MAX,21.44,10
61700072,30/03/2011,Water Temp situ(øC) MAX,21.41,10
61700072,31/03/2011,Water Temp situ(øC) MAX,21.44,10
61700072,1/04/2011,Water Temp situ(øC) MAX,21.44,10
61700072,2/04/2011,Water Temp situ(øC) MAX,21.43,10
61700072,3/04/2011,Water Temp situ(øC) MAX,21.44,10
61700072,4/04/2011,Water Temp situ(øC) MAX,21.6,10
61700072,5/04/2011,Water Temp situ(øC) MAX,21.69,10
61700072,6/04/2011,Water Temp situ(øC) MAX,21.66,10
61700072,7/04/2011,Water Temp situ(øC) MAX,21.73,10
61700072,8/04/2011,Water Temp situ(øC) MAX,21.77,10
61700072,9/04/2011,Water Temp situ(øC) MAX,21.68,10
61700072,10/04/2011,Water Temp situ(øC) MAX,21.63,10
61700072,11/04/2011,Water Temp situ(øC) MAX,21.65,10
61700072,12/04/2011,Water Temp situ(øC) MAX,21.68,10
61700072,13/04/2011,Water Temp situ(øC) MAX,21.69,10
61700072,14/04/2011,Water Temp situ(øC) MAX,21.7,10
61700072,2/05/2011,Water Temp situ(øC) MAX,21.82,10
61700072,3/05/2011,Water Temp situ(øC) MAX,21.83,10
61700072,4/05/2011,Water Temp situ(øC) MAX,21.85,10
61700072,5/05/2011,Water Temp situ(øC) MAX,21.88,10
61700072,6/05/2011,Water Temp situ(øC) MAX,21.94,10
61700072,7/05/2011,Water Temp situ(øC) MAX,21.87,10
61700072,8/05/2011,Water Temp situ(øC) MAX,21.85,10
61700072,9/05/2011,Water Temp situ(øC) MAX,21.87,10
61700072,10/05/2011,Water Temp situ(øC) MAX,21.86,10
61700072,11/05/2011,Water Temp situ(øC) MAX,21.86,10
61700072,12/05/2011,Water Temp situ(øC) MAX,21.86,10
61700072,13/05/2011,Water Temp situ(øC) MAX,21.82,10
61700072,14/05/2011,Water Temp situ(øC) MAX,21.86,10
61700072,15/05/2011,Water Temp situ(øC) MAX,21.9,10
61700072,16/05/2011,Water Temp situ(øC) MAX,21.91,10
61700072,17/05/2011,Water Temp situ(øC) MAX,21.97,10
61700072,6/07/2011,Water Temp situ(øC) MAX,21.72,10
61700072,7/07/2011,Water Temp situ(øC) MAX,21.72,10
61700072,8/07/2011,Water Temp situ(øC) MAX,21.71,10
61700072,9/07/2011,Water Temp situ(øC) MAX,21.7,10
61700072,10/07/2011,Water Temp situ(øC) MAX,21.68,10
61700072,11/07/2011,Water Temp situ(øC) MAX,21.67,10
61700072,12/07/2011,Water Temp situ(øC) MAX,21.66,10
61700072,13/07/2011,Water Temp situ(øC) MAX,21.65,10
61700072,14/07/2011,Water Temp situ(øC) MAX,21.64,10
61700072,15/07/2011,Water Temp situ(øC) MAX,21.63,10
61700072,16/07/2011,Water Temp situ(øC) MAX,21.61,10
61700072,17/07/2011,Water Temp situ(øC) MAX,21.6,10
61700072,18/07/2011,Water Temp situ(øC) MAX,21.59,10
61700072,19/07/2011,Water Temp situ(øC) MAX,21.58,10
61700072,20/07/2011,Water Temp situ(øC) MAX,21.57,10
61700072,15/04/2011,Water Temp situ(øC) MAX,21.68,10
61700072,16/04/2011,Water Temp situ(øC) MAX,21.63,10
61700072,17/04/2011,Water Temp situ(øC) MAX,21.73,10
61700072,18/04/2011,Water Temp situ(øC) MAX,21.8,10
61700072,19/04/2011,Water Temp situ(øC) MAX,21.83,10
61700072,20/04/2011,Water Temp situ(øC) MAX,21.85,10
61700072,21/04/2011,Water Temp situ(øC) MAX,21.79,10
61700072,22/04/2011,Water Temp situ(øC) MAX,21.73,10
61700072,23/04/2011,Water Temp situ(øC) MAX,21.73,10
61700072,24/04/2011,Water Temp situ(øC) MAX,21.74,10
61700072,25/04/2011,Water Temp situ(øC) MAX,21.74,10
61700072,26/04/2011,Water Temp situ(øC) MAX,21.72,10
61700072,27/04/2011,Water Temp situ(øC) MAX,21.71,10
61700072,28/04/2011,Water Temp situ(øC) MAX,21.74,10
61700072,29/04/2011,Water Temp situ(øC) MAX,21.74,10
61700072,30/04/2011,Water Temp situ(øC) MAX,21.77,10
61700072,1/05/2011,Water Temp situ(øC) MAX,21.81,10
61700072,23/06/2011,Water Temp situ(øC) MAX,21.84,10
61700072,24/06/2011,Water Temp situ(øC) MAX,21.82,10
61700072,25/06/2011,Water Temp situ(øC) MAX,21.85,10
61700072,26/06/2011,Water Temp situ(øC) MAX,21.84,10
61700072,27/06/2011,Water Temp situ(øC) MAX,21.82,10
61700072,28/06/2011,Water Temp situ(øC) MAX,21.82,10
61700072,29/06/2011,Water Temp situ(øC) MAX,21.81,10
61700072,30/06/2011,Water Temp situ(øC) MAX,21.79,10
61700072,1/07/2011,Water Temp situ(øC) MAX,21.79,10
61700072,2/07/2011,Water Temp situ(øC) MAX,21.77,10
61700072,3/07/2011,Water Temp situ(øC) MAX,21.75,10
61700072,4/07/2011,Water Temp situ(øC) MAX,21.75,10
61700072,5/07/2011,Water Temp situ(øC) MAX,21.73,10
61700072,5/08/2011,Water Temp situ(øC) MAX,21.28,10
61700072,6/08/2011,Water Temp situ(øC) MAX,21.29,10
61700072,7/08/2011,Water Temp situ(øC) MAX,21.3,10
61700072,8/08/2011,Water Temp situ(øC) MAX,21.28,10
61700072,9/08/2011,Water Temp situ(øC) MAX,21.26,10
61700072,10/08/2011,Water Temp situ(øC) MAX,21.24,10
61700072,11/08/2011,Water Temp situ(øC) MAX,21.23,10
