Site Ref,Collected Date,Variable Name,Value,Quality
61672159,9/07/2019,Water Temp situ(øC) MAX,21.517,3
61672159,10/07/2019,Water Temp situ(øC) MAX,21.533,3
61672159,11/07/2019,Water Temp situ(øC) MAX,21.536,3
61672159,12/07/2019,Water Temp situ(øC) MAX,21.534,3
61672159,13/07/2019,Water Temp situ(øC) MAX,21.537,3
61672159,14/07/2019,Water Temp situ(øC) MAX,21.523,3
61672159,15/07/2019,Water Temp situ(øC) MAX,21.55,3
61672159,16/07/2019,Water Temp situ(øC) MAX,21.525,3
61672159,17/07/2019,Water Temp situ(øC) MAX,21.553,3
61672159,18/07/2019,Water Temp situ(øC) MAX,21.528,3
61672159,19/07/2019,Water Temp situ(øC) MAX,21.531,3
61672159,20/07/2019,Water Temp situ(øC) MAX,21.529,3
61672159,21/07/2019,Water Temp situ(øC) MAX,21.536,3
61672159,22/07/2019,Water Temp situ(øC) MAX,21.528,3
61672159,23/07/2019,Water Temp situ(øC) MAX,21.543,3
61672159,24/07/2019,Water Temp situ(øC) MAX,21.526,3
61672159,25/07/2019,Water Temp situ(øC) MAX,21.537,3
61672159,26/07/2019,Water Temp situ(øC) MAX,21.526,3
61672159,27/07/2019,Water Temp situ(øC) MAX,21.543,3
61672159,28/07/2019,Water Temp situ(øC) MAX,21.526,3
61672159,29/07/2019,Water Temp situ(øC) MAX,21.515,3
61672159,30/07/2019,Water Temp situ(øC) MAX,21.525,3
61672159,31/07/2019,Water Temp situ(øC) MAX,21.523,3
61672159,1/08/2019,Water Temp situ(øC) MAX,21.515,3
61672159,2/08/2019,Water Temp situ(øC) MAX,21.514,3
61672159,3/08/2019,Water Temp situ(øC) MAX,21.502,3
61672159,4/08/2019,Water Temp situ(øC) MAX,21.489,3
61672159,5/08/2019,Water Temp situ(øC) MAX,21.482,3
61672159,6/08/2019,Water Temp situ(øC) MAX,21.503,3
61672159,7/08/2019,Water Temp situ(øC) MAX,21.487,3
61672159,8/08/2019,Water Temp situ(øC) MAX,21.462,3
61672159,9/08/2019,Water Temp situ(øC) MAX,21.451,3
61672159,10/08/2019,Water Temp situ(øC) MAX,21.455,3
61672159,11/08/2019,Water Temp situ(øC) MAX,21.433,3
61672159,12/08/2019,Water Temp situ(øC) MAX,21.428,3
61672159,13/08/2019,Water Temp situ(øC) MAX,21.423,3
61672159,14/08/2019,Water Temp situ(øC) MAX,21.433,3
61672159,15/08/2019,Water Temp situ(øC) MAX,21.414,3
61672159,16/08/2019,Water Temp situ(øC) MAX,21.409,3
61672159,17/08/2019,Water Temp situ(øC) MAX,21.398,3
61672159,18/08/2019,Water Temp situ(øC) MAX,21.396,3
61672159,19/08/2019,Water Temp situ(øC) MAX,21.394,3
61672159,20/08/2019,Water Temp situ(øC) MAX,21.377,3
61672159,21/08/2019,Water Temp situ(øC) MAX,21.376,3
61672159,22/08/2019,Water Temp situ(øC) MAX,21.367,3
61672159,23/08/2019,Water Temp situ(øC) MAX,21.356,3
61672159,24/08/2019,Water Temp situ(øC) MAX,21.355,3
61672159,25/08/2019,Water Temp situ(øC) MAX,21.352,3
61672159,26/08/2019,Water Temp situ(øC) MAX,21.347,3
61672159,27/08/2019,Water Temp situ(øC) MAX,21.329,3
61672159,28/08/2019,Water Temp situ(øC) MAX,21.327,3
61672159,29/08/2019,Water Temp situ(øC) MAX,21.318,3
61672159,30/08/2019,Water Temp situ(øC) MAX,21.306,3
61672159,31/08/2019,Water Temp situ(øC) MAX,21.306,3
61672159,1/09/2019,Water Temp situ(øC) MAX,21.296,3
61672159,2/09/2019,Water Temp situ(øC) MAX,21.282,3
61672159,3/09/2019,Water Temp situ(øC) MAX,21.279,3
61672159,4/09/2019,Water Temp situ(øC) MAX,21.285,3
61672159,5/09/2019,Water Temp situ(øC) MAX,21.264,3
61672159,6/09/2019,Water Temp situ(øC) MAX,21.275,3
61672159,7/09/2019,Water Temp situ(øC) MAX,21.26,3
61672159,8/09/2019,Water Temp situ(øC) MAX,21.259,3
61672159,9/09/2019,Water Temp situ(øC) MAX,21.245,3
61672159,10/09/2019,Water Temp situ(øC) MAX,21.255,3
61672159,11/09/2019,Water Temp situ(øC) MAX,21.229,3
61672159,12/09/2019,Water Temp situ(øC) MAX,21.247,3
61672159,13/09/2019,Water Temp situ(øC) MAX,21.216,3
61672159,14/09/2019,Water Temp situ(øC) MAX,21.226,3
61672159,15/09/2019,Water Temp situ(øC) MAX,21.205,3
61672159,16/09/2019,Water Temp situ(øC) MAX,21.203,3
61672159,17/09/2019,Water Temp situ(øC) MAX,21.183,3
61672159,18/09/2019,Water Temp situ(øC) MAX,21.178,3
61672159,19/09/2019,Water Temp situ(øC) MAX,21.2,3
61672159,20/09/2019,Water Temp situ(øC) MAX,21.163,3
61672159,21/09/2019,Water Temp situ(øC) MAX,21.172,3
61672159,22/09/2019,Water Temp situ(øC) MAX,21.152,3
61672159,23/09/2019,Water Temp situ(øC) MAX,21.151,3
61672159,24/09/2019,Water Temp situ(øC) MAX,21.132,3
61672159,25/09/2019,Water Temp situ(øC) MAX,21.136,3
61672159,26/09/2019,Water Temp situ(øC) MAX,21.125,3
61672159,27/09/2019,Water Temp situ(øC) MAX,21.125,3
61672159,28/09/2019,Water Temp situ(øC) MAX,21.124,3
61672159,29/09/2019,Water Temp situ(øC) MAX,21.104,3
61672159,30/09/2019,Water Temp situ(øC) MAX,21.099,3
61672159,1/10/2019,Water Temp situ(øC) MAX,21.103,3
61672159,2/10/2019,Water Temp situ(øC) MAX,21.109,3
61672159,3/10/2019,Water Temp situ(øC) MAX,21.092,3
61672159,4/10/2019,Water Temp situ(øC) MAX,21.072,3
61672159,5/10/2019,Water Temp situ(øC) MAX,21.062,3
61672159,6/10/2019,Water Temp situ(øC) MAX,21.067,3
61672159,7/10/2019,Water Temp situ(øC) MAX,21.062,3
61672159,8/10/2019,Water Temp situ(øC) MAX,21.047,3
61672159,9/10/2019,Water Temp situ(øC) MAX,21.035,3
61672159,10/10/2019,Water Temp situ(øC) MAX,21.059,3
