,Site.Ref,Site.name,Site.short.name,All.Site.Refs,Site.subtype,DWER.owned,Zone,Easting,Northing,Latitude,Longitude,Pos.n.acc,Tot.Construct.depth.mBGL,Drilled.depth.mBGL,GW.Area,Locality,First.sample,Last.sample,Var.ID,Variable,Units,Num.rdgs,Min.val,Avg.val,Max.val
179054,61700072,Lake Thetis - TH2C,TH2C,23043239 [WIN_ID]; 61700072 [SITE_REF]; TH2C [TEXT_REF],Bore or Well,Yes,50,316323,6623358,-30.50805476,115.085927,Unknown,4.5,5,Jurien,CERVANTES,14/02/2011,3/04/2012,59,Temperature (in situ),deg C,9,20.53,22.22111111,23.2
179208,61700074,Lake Thetis - TH1B,TH1B,23043241 [WIN_ID]; 61700074 [SITE_REF]; TH1B [TEXT_REF],Bore or Well,Yes,50,315569,6623506,-30.50660437,115.0780996,Unknown,15,20.8,Jurien,CERVANTES,14/02/2011,3/04/2012,59,Temperature (in situ),deg C,9,19.18,21.56777778,23.83
198418,61719075,Nambung - Cervantes 1-85,Cervantes 1-85,61719075 [SITE_REF]; 6506 [WIN_ID],Bore or Well,Yes,50,317867,6623365,-30.50822868,115.1020074,+/-1000m,10.32,11.5,Jurien,NAMBUNG,17/08/1987,13/03/1997,59,Temperature (in situ),deg C,61,14.2,21.8442623,24.3
205255,61730551,Cataby Shallow - CS33D,CS33D,1936-4-NW-0014 [AQWAB]; 61730551 [SITE_REF]; 8651644 [WIN_ID],Bore or Well,Yes,50,318880.05,6616816.81,-30.56743798,115.1114199,+/-1m,11,17.6,Jurien,NAMBUNG,1/06/2011,1/06/2011,59,Temperature (in situ),deg C,1,21.8,21.8,21.8
208642,70118127,Allanooka Irwin View - IV OB 9/77,IV OB 9/77,1939-4-SW-0045 [AQWAB]; 6731 [WIN_ID]; 70118127 [SITE_REF],Bore or Well,Yes,50,305917,6774390,-29.14421742,115.0047974,+/-50m,48.3,215,Arrowsmith,YARDARINO,25/05/1978,14/07/1993,59,Temperature (in situ),deg C,46,22.9,24.45434783,26.5
209965,70118308,Greenough Shallows - GS9A,GS9A,11354635 [WIN_ID]; 1839-1-SE-0069 [AQWAB]; 70118308 [SITE_REF],Bore or Well,Yes,50,296774.39,6771670.08,-29.16731832,114.9103638,+/-1m,49.9,54,Arrowsmith,BONNIEFIELD,19/04/2011,19/04/2011,59,Temperature (in situ),deg C,1,28.3,28.3,28.3
210391,70118318,Greenough Shallows - GS16,GS16,11354665 [WIN_ID]; 1839-1-NE-0039 [AQWAB]; 70118318 [SITE_REF],Bore or Well,Yes,50,295587.28,6777268.36,-29.11663264,114.899192,+/-1m,47.36,60,Arrowsmith,BOOKARA,31/08/2007,19/04/2011,59,Temperature (in situ),deg C,2,24.8,27.25,29.7
210430,70118319,Greenough Shallows - GS17,GS17,11354668 [WIN_ID]; 1839-1-NE-0040 [AQWAB]; 70118319 [SITE_REF],Bore or Well,Yes,50,302216.69,6777498.27,-29.11560887,114.9673291,+/-1m,69.9,75,Arrowsmith,ALLANOOKA,7/07/2011,7/07/2011,59,Temperature (in situ),deg C,1,22.5,22.5,22.5
211335,70130003,Leeman Shallow - LS23A,LS23A,10335359 [WIN_ID]; 1938-4-NW-0007 [AQWAB]; 70130003 [SITE_REF],Bore or Well,Yes,50,316029.01,6721992.59,-29.61837525,115.0999387,+/-1m,100.1,100.13,Arrowsmith,ARROWSMITH,3/05/2011,3/05/2011,59,Temperature (in situ),deg C,1,24.1,24.1,24.1
211602,70130011,Leeman Shallow - LS26C,LS26C,10335401 [WIN_ID]; 1938-4-NW-0013 [AQWAB]; 70130011 [SITE_REF],Bore or Well,Yes,50,307012.41,6732928.52,-29.51837007,115.0087973,+/-1m,84,100.13,Arrowsmith,ARROWSMITH,27/04/2011,27/04/2011,59,Temperature (in situ),deg C,1,23.3,23.3,23.3
211701,70130013,Leeman Shallow - LS27A,LS27A,10335415 [WIN_ID]; 1938-4-NW-0009 [AQWAB]; 70130013 [SITE_REF],Bore or Well,Yes,50,313672.52,6731405.35,-29.53312062,115.0772222,+/-1m,98,100.2,Arrowsmith,ARROWSMITH,27/04/2011,27/04/2011,59,Temperature (in situ),deg C,1,24.2,24.2,24.2
