Site Ref,Collected Date,Variable Name,Value,Quality
61700072,7/03/2011,Water Temp situ(øC) MAX,21.06,10
61700072,8/03/2011,Water Temp situ(øC) MAX,21.08,10
61700072,9/03/2011,Water Temp situ(øC) MAX,21.08,10
61700072,10/03/2011,Water Temp situ(øC) MAX,21.09,10
61700072,11/03/2011,Water Temp situ(øC) MAX,21.11,10
61700072,12/03/2011,Water Temp situ(øC) MAX,21.23,10
61700072,13/03/2011,Water Temp situ(øC) MAX,21.22,10
61700072,14/03/2011,Water Temp situ(øC) MAX,21.22,10
61700072,15/03/2011,Water Temp situ(øC) MAX,21.29,10
61700072,16/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,17/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,18/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,19/03/2011,Water Temp situ(øC) MAX,21.27,10
61700072,20/03/2011,Water Temp situ(øC) MAX,21.28,10
61700072,21/03/2011,Water Temp situ(øC) MAX,21.3,10
61700072,22/03/2011,Water Temp situ(øC) MAX,21.32,10
61700072,23/03/2011,Water Temp situ(øC) MAX,21.38,10
61700072,24/03/2011,Water Temp situ(øC) MAX,21.36,10
61700072,25/03/2011,Water Temp situ(øC) MAX,21.38,10
61700072,26/03/2011,Water Temp situ(øC) MAX,21.4,10
61700072,27/03/2011,Water Temp situ(øC) MAX,21.4,10
61700072,28/03/2011,Water Temp situ(øC) MAX,21.39,10
61700072,29/03/2011,Water Temp situ(øC) MAX,21.44,10
61700072,30/03/2011,Water Temp situ(øC) MAX,21.41,10
61700072,31/03/2011,Water Temp situ(øC) MAX,21.44,10
61700072,1/04/2011,Water Temp situ(øC) MAX,21.44,10
61700072,2/04/2011,Water Temp situ(øC) MAX,21.43,10
61700072,3/04/2011,Water Temp situ(øC) MAX,21.44,10
61700072,4/04/2011,Water Temp situ(øC) MAX,21.6,10
61700072,5/04/2011,Water Temp situ(øC) MAX,21.69,10
61700072,6/04/2011,Water Temp situ(øC) MAX,21.66,10
61700072,7/04/2011,Water Temp situ(øC) MAX,21.73,10
61700072,8/04/2011,Water Temp situ(øC) MAX,21.77,10
61700072,9/04/2011,Water Temp situ(øC) MAX,21.68,10
61700072,10/04/2011,Water Temp situ(øC) MAX,21.63,10
61700072,11/04/2011,Water Temp situ(øC) MAX,21.65,10
61700072,12/04/2011,Water Temp situ(øC) MAX,21.68,10
61700072,13/04/2011,Water Temp situ(øC) MAX,21.69,10
61700072,14/04/2011,Water Temp situ(øC) MAX,21.7,10
61700075,26/02/2011,Water Temp situ(øC) MAX,19.77,1
61700075,27/02/2011,Water Temp situ(øC) MAX,19.78,1
61700075,28/02/2011,Water Temp situ(øC) MAX,19.79,1
61700075,1/03/2011,Water Temp situ(øC) MAX,19.8,1
61700075,2/03/2011,Water Temp situ(øC) MAX,19.81,1
61700075,3/03/2011,Water Temp situ(øC) MAX,19.83,1
61700075,4/03/2011,Water Temp situ(øC) MAX,19.84,1
61700075,5/03/2011,Water Temp situ(øC) MAX,19.85,1
61700075,6/03/2011,Water Temp situ(øC) MAX,19.86,1
61700075,7/03/2011,Water Temp situ(øC) MAX,19.88,1
61700075,8/03/2011,Water Temp situ(øC) MAX,19.89,1
61700075,9/03/2011,Water Temp situ(øC) MAX,19.9,1
61700075,10/03/2011,Water Temp situ(øC) MAX,19.92,1
61700075,11/03/2011,Water Temp situ(øC) MAX,19.93,1
61700075,12/03/2011,Water Temp situ(øC) MAX,19.94,1
61700075,13/03/2011,Water Temp situ(øC) MAX,19.95,1
61700075,14/03/2011,Water Temp situ(øC) MAX,20.02,1
61700075,15/03/2011,Water Temp situ(øC) MAX,19.98,1
61700075,16/03/2011,Water Temp situ(øC) MAX,19.99,1
61700075,17/03/2011,Water Temp situ(øC) MAX,20.01,1
61700075,18/03/2011,Water Temp situ(øC) MAX,20.02,1
61700075,19/03/2011,Water Temp situ(øC) MAX,20.03,1
61700075,20/03/2011,Water Temp situ(øC) MAX,20.05,1
61700075,21/03/2011,Water Temp situ(øC) MAX,20.06,1
61700075,22/03/2011,Water Temp situ(øC) MAX,20.08,1
61700075,23/03/2011,Water Temp situ(øC) MAX,20.09,1
61700075,24/03/2011,Water Temp situ(øC) MAX,20.1,1
61700075,25/03/2011,Water Temp situ(øC) MAX,20.11,1
61700075,26/03/2011,Water Temp situ(øC) MAX,20.13,1
61700075,27/03/2011,Water Temp situ(øC) MAX,20.14,1
61700075,28/03/2011,Water Temp situ(øC) MAX,20.16,1
61700075,29/03/2011,Water Temp situ(øC) MAX,20.17,1
61700075,30/03/2011,Water Temp situ(øC) MAX,20.19,1
61700075,31/03/2011,Water Temp situ(øC) MAX,20.2,1
61700075,1/04/2011,Water Temp situ(øC) MAX,20.21,1
61700075,2/04/2011,Water Temp situ(øC) MAX,20.23,1
61700075,3/04/2011,Water Temp situ(øC) MAX,20.24,1
61700075,4/04/2011,Water Temp situ(øC) MAX,20.26,1
61700075,5/04/2011,Water Temp situ(øC) MAX,20.27,1
61700075,6/04/2011,Water Temp situ(øC) MAX,20.28,1
61700075,7/04/2011,Water Temp situ(øC) MAX,20.29,1
61700075,8/04/2011,Water Temp situ(øC) MAX,20.31,1
61700075,9/04/2011,Water Temp situ(øC) MAX,20.32,1
61700075,10/04/2011,Water Temp situ(øC) MAX,20.33,1
61700075,11/04/2011,Water Temp situ(øC) MAX,20.34,1
61700075,12/04/2011,Water Temp situ(øC) MAX,20.39,1
61700075,13/04/2011,Water Temp situ(øC) MAX,20.38,1
61700075,14/04/2011,Water Temp situ(øC) MAX,20.39,1
61700075,15/04/2011,Water Temp situ(øC) MAX,20.4,1
61700075,16/04/2011,Water Temp situ(øC) MAX,20.41,1
61700075,17/04/2011,Water Temp situ(øC) MAX,20.43,1
61700075,18/04/2011,Water Temp situ(øC) MAX,20.44,1
61700075,19/04/2011,Water Temp situ(øC) MAX,20.45,1
61700075,20/04/2011,Water Temp situ(øC) MAX,20.54,1
61700075,21/04/2011,Water Temp situ(øC) MAX,20.48,1
61700075,22/04/2011,Water Temp situ(øC) MAX,20.48,1
61700075,23/04/2011,Water Temp situ(øC) MAX,20.5,1
61700075,24/04/2011,Water Temp situ(øC) MAX,20.51,1
61700075,25/04/2011,Water Temp situ(øC) MAX,20.52,1
61700075,26/04/2011,Water Temp situ(øC) MAX,20.53,1
61700075,27/04/2011,Water Temp situ(øC) MAX,20.54,1
61700075,28/04/2011,Water Temp situ(øC) MAX,20.55,1
61700074,29/04/2011,Water Temp situ(øC) MEAN,20.62,10
61700074,30/04/2011,Water Temp situ(øC) MEAN,20.627,10
61700074,1/05/2011,Water Temp situ(øC) MEAN,20.63,10
61700075,29/04/2011,Water Temp situ(øC) MAX,20.56,1
61700075,30/04/2011,Water Temp situ(øC) MAX,20.57,1
61700075,1/05/2011,Water Temp situ(øC) MAX,20.59,1
