"","X1","month.year","time","av.temp","Location"
"51",3,"2019.Dec",2019-12-16 23:20:00,21.911435475069,"Mindarie"
"52",4,"2019.Feb",2019-02-15 11:20:00,21.6869266285616,"Mindarie"
"53",5,"2019.Jan",2019-01-16 23:20:00,21.5523674460019,"Mindarie"
"54",6,"2019.Jul",2019-07-16 23:20:00,18.4512591193704,"Mindarie"
"55",7,"2019.Jun",2019-06-16 11:20:00,18.9716574276195,"Mindarie"
"56",8,"2019.Mar",2019-03-16 23:20:00,22.2477373908548,"Mindarie"
"57",9,"2019.May",2019-05-16 23:20:00,19.6105483111213,"Mindarie"
"58",10,"2019.Nov",2019-11-16 11:20:00,19.9909894157859,"Mindarie"
"59",11,"2019.Oct",2019-10-16 23:20:00,18.7249838436351,"Mindarie"
"60",12,"2019.Sep",2019-09-16 11:20:00,17.9515786563649,"Mindarie"
"61",13,"2020.Apr",2020-04-16 11:20:00,22.2707027659697,"Mindarie"
"62",14,"2020.Aug",2020-08-16 23:20:00,18.4253048167509,"Mindarie"
"63",15,"2020.Dec",2020-12-16 23:20:00,21.180623851103,"Mindarie"
"64",16,"2020.Feb",2020-02-15 23:20:00,22.7161570829504,"Mindarie"
"65",17,"2020.Jan",2020-01-16 23:20:00,22.0542451746324,"Mindarie"
"66",18,"2020.Jul",2020-07-16 23:20:00,19.3582971909467,"Mindarie"
"67",19,"2020.Jun",2020-06-16 11:20:00,21.228818287569,"Mindarie"
"68",20,"2020.Mar",2020-03-16 23:20:00,23.0170191147748,"Mindarie"
"69",21,"2020.May",2020-05-16 23:20:00,20.8262375775506,"Mindarie"
"70",22,"2020.Nov",2020-11-16 11:20:00,20.3894412769991,"Mindarie"
"71",23,"2020.Oct",2020-10-16 23:20:00,18.7571906594669,"Mindarie"
"72",24,"2020.Sep",2020-09-16 11:20:00,18.5104362936581,"Mindarie"
"73",1,"2019.Apr",2019-04-16 11:20:00,21.0876807844135,"Two Rocks"
"74",2,"2019.Aug",2019-08-16 23:20:00,17.9810987875495,"Two Rocks"
"75",3,"2019.Dec",2019-12-16 23:20:00,21.7736488879567,"Two Rocks"
"76",4,"2019.Feb",2019-02-15 11:20:00,21.2291821976783,"Two Rocks"
"77",5,"2019.Jan",2019-01-16 23:20:00,21.0830636037907,"Two Rocks"
"78",6,"2019.Jul",2019-07-16 23:20:00,18.8378209073779,"Two Rocks"
"79",7,"2019.Jun",2019-06-16 11:20:00,19.2898782219686,"Two Rocks"
"80",8,"2019.Mar",2019-03-16 23:20:00,22.1195596184529,"Two Rocks"
"81",9,"2019.May",2019-05-16 23:20:00,20.0137311048911,"Two Rocks"
"82",10,"2019.Nov",2019-11-16 11:20:00,19.928915878081,"Two Rocks"
"83",11,"2019.Oct",2019-10-16 23:20:00,18.8738660355689,"Two Rocks"
"84",12,"2019.Sep",2019-09-16 11:20:00,18.0735270755392,"Two Rocks"
"85",13,"2020.Apr",2020-04-16 11:20:00,22.2614474444322,"Two Rocks"
"86",14,"2020.Aug",2020-08-16 23:20:00,18.724247376348,"Two Rocks"
"87",15,"2020.Dec",2020-12-16 23:20:00,21.1365226638149,"Two Rocks"
"88",16,"2020.Feb",2020-02-15 23:20:00,22.6751450229699,"Two Rocks"
"89",17,"2020.Jan",2020-01-16 23:20:00,21.791005223234,"Two Rocks"
"90",18,"2020.Jul",2020-07-16 23:20:00,19.4821866747359,"Two Rocks"
"91",19,"2020.Jun",2020-06-16 11:20:00,21.4763174137599,"Two Rocks"
"92",20,"2020.Mar",2020-03-16 23:20:00,22.966493762379,"Two Rocks"
"93",21,"2020.May",2020-05-16 23:20:00,20.7197316344355,"Two Rocks"
"94",22,"2020.Nov",2020-11-16 11:20:00,20.4278628067232,"Two Rocks"
"95",23,"2020.Oct",2020-10-16 23:20:00,18.9499816034881,"Two Rocks"
"96",24,"2020.Sep",2020-09-16 11:20:00,18.690067688848,"Two Rocks"
